Subject	Bernat_2019:A007	Bhiman_2015:CAP256	Bonsignori_2016:CH505	Corcoran_2016:H1	Doria-Rose_2015:CAP256	Eliyahu_2018:C10	Eliyahu_2018:C4	Eliyahu_2018:C6	Eliyahu_2018:C7	Eliyahu_2018:C9	Eliyahu_2018:CI11	Eliyahu_2018:CI13	Eliyahu_2018:CI16	Eliyahu_2018:CI20	Eliyahu_2018:CI21	Eliyahu_2018:CI26	Eliyahu_2018:CI4	Eliyahu_2018:SC1	Eliyahu_2018:SC14	Eliyahu_2018:SC15	Eliyahu_2018:SC2	Eliyahu_2018:SC3	Eliyahu_2018:SC7	Eliyahu_2018:SC8	Eliyahu_2018:SC9	Gidoni_2019:S1	Gidoni_2019:S10	Gidoni_2019:S100	Gidoni_2019:S11	Gidoni_2019:S12	Gidoni_2019:S13	Gidoni_2019:S14	Gidoni_2019:S15	Gidoni_2019:S16	Gidoni_2019:S17	Gidoni_2019:S18	Gidoni_2019:S19	Gidoni_2019:S2	Gidoni_2019:S20	Gidoni_2019:S21	Gidoni_2019:S22	Gidoni_2019:S23	Gidoni_2019:S24	Gidoni_2019:S25	Gidoni_2019:S26	Gidoni_2019:S27	Gidoni_2019:S28	Gidoni_2019:S29	Gidoni_2019:S3	Gidoni_2019:S30	Gidoni_2019:S31	Gidoni_2019:S32	Gidoni_2019:S33	Gidoni_2019:S34	Gidoni_2019:S35	Gidoni_2019:S36	Gidoni_2019:S37	Gidoni_2019:S38	Gidoni_2019:S39	Gidoni_2019:S4	Gidoni_2019:S40	Gidoni_2019:S41	Gidoni_2019:S42	Gidoni_2019:S43	Gidoni_2019:S44	Gidoni_2019:S45	Gidoni_2019:S46	Gidoni_2019:S47	Gidoni_2019:S48	Gidoni_2019:S49	Gidoni_2019:S5	Gidoni_2019:S50	Gidoni_2019:S51	Gidoni_2019:S52	Gidoni_2019:S53	Gidoni_2019:S54	Gidoni_2019:S55	Gidoni_2019:S56	Gidoni_2019:S57	Gidoni_2019:S58	Gidoni_2019:S59	Gidoni_2019:S6	Gidoni_2019:S60	Gidoni_2019:S61	Gidoni_2019:S62	Gidoni_2019:S63	Gidoni_2019:S64	Gidoni_2019:S65	Gidoni_2019:S66	Gidoni_2019:S67	Gidoni_2019:S68	Gidoni_2019:S69	Gidoni_2019:S7	Gidoni_2019:S70	Gidoni_2019:S71	Gidoni_2019:S72	Gidoni_2019:S73	Gidoni_2019:S74	Gidoni_2019:S75	Gidoni_2019:S76	Gidoni_2019:S77	Gidoni_2019:S78	Gidoni_2019:S79	Gidoni_2019:S8	Gidoni_2019:S80	Gidoni_2019:S81	Gidoni_2019:S82	Gidoni_2019:S83	Gidoni_2019:S84	Gidoni_2019:S85	Gidoni_2019:S86	Gidoni_2019:S87	Gidoni_2019:S88	Gidoni_2019:S89	Gidoni_2019:S9	Gidoni_2019:S90	Gidoni_2019:S91	Gidoni_2019:S92	Gidoni_2019:S93	Gidoni_2019:S94	Gidoni_2019:S95	Gidoni_2019:S96	Gidoni_2019:S97	Gidoni_2019:S99	Gupta_2017:Fv_volunteer	Gupta_2017:GMC_volunteer	Gupta_2017:IB_volunteer	Huang_2016:Donor-Z258	Johnson_2018:CAP256	Johnson_2018:HD1	Landais_2017:PC064	Meng_2017a:Subject-D145	Meng_2017a:Subject-D149	Meng_2017a:Subject-D168	Meng_2017a:Subject-D181	Meng_2017a:Subject-D182	Palanichamy_2014:Subject-14711	Palanichamy_2014:Subject-26712	Palanichamy_2014:Subject-29612	Palanichamy_2014:Subject-30512	Palanichamy_2014:Subject-31012	Palanichamy_2014:Subject-34012	Palanichamy_2014:Subject-43113	Palanichamy_2014:Subject-43213	Rubelt_2016:TW01A	Rubelt_2016:TW01B	Rubelt_2016:TW02A	Rubelt_2016:TW02B	Rubelt_2016:TW03A	Rubelt_2016:TW03B	Rubelt_2016:TW04A	Rubelt_2016:TW04B	Rubelt_2016:TW05A	Rubelt_2016:TW05B	Soto_2016:IAVI84	Soto_2016:N152	Stern_2014:M2	Stern_2014:M3	Stern_2014:M4	Stern_2014:M5	Tipton_2015:subject-1	Tipton_2015:subject-2	Tipton_2015:subject-3	Tipton_2015:subject-4	Tipton_2015:subject-5	Tipton_2015:subject-6	Tipton_2015:subject-7	Tipton_2015:subject-8	Turchaninova_2016:donor-1	Turchaninova_2016:donor-2	Turchaninova_2016:donor-3	Vander_Heiden_2017:AR02	Vander_Heiden_2017:AR03	Vander_Heiden_2017:AR04	Vander_Heiden_2017:AR05	Vander_Heiden_2017:HD07	Vander_Heiden_2017:HD09	Vander_Heiden_2017:HD10	Vander_Heiden_2017:HD13	Vander_Heiden_2017:MK02	Vander_Heiden_2017:MK03	Vander_Heiden_2017:MK04	Vander_Heiden_2017:MK05	Vander_Heiden_2017:MK08	Waltari_2018:AD341	Waltari_2018:AD344	Waltari_2018:BD1	Waltari_2018:BD10	Waltari_2018:BD11	Waltari_2018:BD12	Waltari_2018:BD13	Waltari_2018:BD14	Waltari_2018:BD1a	Waltari_2018:BD1h	Waltari_2018:BD2	Waltari_2018:BD2-repeat1	Waltari_2018:BD3a	Waltari_2018:BD3h	Waltari_2018:BD4	Waltari_2018:BD5	Waltari_2018:BD5a	Waltari_2018:BD5g	Waltari_2018:BD5h	Waltari_2018:BD6	Waltari_2018:BD6h	Waltari_2018:BD7	Waltari_2018:BD8	Waltari_2018:BD9	Waltari_2018:CB1	Waltari_2018:CB1g	Waltari_2018:CB2	Waltari_2018:CB3	Waltari_2018:CB4	Waltari_2018:CB5	Waltari_2018:CB5-repeat1	Waltari_2018:MT1214	Waltari_2018:MT8004	Wu_2011:Donor-74	Wu_2015:Donor-45	Zhou_2015:Donor-44	Zhou_2015:Donor-C38	Zhou_2015:Donor-RU01	Zhou_2015:Donor-RU08	Zhu_2012:Donor-39	Zhu_2013:Donor-C38
Gidoni_2019:S97	180481	40122	78100	194389	103719	52372	51169	43107	56280	52137	57828	57183	69974	50443	64156	58613	47976	56470	50567	59953	52496	67226	62521	57383	53050	132423	184897	176983	180405	188550	198001	176709	185418	188394	190054	170472	187239	138508	153570	166867	186906	165781	179252	185732	156769	204280	157023	195396	129568	182590	189832	186093	150962	195845	143940	175991	202575	187697	171902	152871	170233	177166	165476	164251	170470	183899	164576	174175	190965	151560	218105	212801	177517	180071	185134	197274	175751	205083	211861	190696	196383	203404	185154	179697	181091	162347	211932	218477	195860	206959	206662	184325	191650	190896	189812	190633	181082	183497	184164	206969	197104	171506	184308	208285	188773	164635	170017	207223	218498	196009	209454	195781	183139	219449	169484	190886	200314	141299	190758	169489	203940	145256	582320	164756	293977	289963	301711	298705	136689	225573	329674	237027	241253	280099	348109	292129	57917	37965	66394	59789	80353	61057	64883	52801	113194	94208	119876	143513	149133	130879	146267	153021	124553	123313	38706	73524	198245	163053	153435	259013	162807	178142	221126	205354	147472	130395	206462	172459	179777	157346	78506	198201	181919	211159	211968	202949	170964	178174	151911	208399	105791	130490	132625	156654	236907	326595	224098	206478	198485	210695	196920	292168	212434	317633	161451	223921	209791	282445	254034	244422	207181	226077	322022	194229	262061	268365	245168	153521	230211	56720	312556	206845	256063	224609	133116	315355	300633	49692	86698	36987	38581	32786	32825	54090	104242
Gidoni_2019:S99	167195	38518	73807	178668	97863	50743	48713	41989	54149	50949	54239	53999	67669	48636	59594	56920	46193	54871	48921	57961	51039	64355	57706	55568	49648	122101	172020	169324	167139	175852	184297	162817	174641	174452	175208	162740	174988	128618	146381	156003	175648	155379	168090	175400	143320	185461	148767	183358	123616	174280	175552	173131	144857	184249	134440	165649	183994	171374	164754	138897	161520	163235	156136	154117	159161	171657	161713	166309	179566	142778	199239	190782	166352	167789	168184	182327	169793	189618	198597	178410	181540	188568	172846	168494	167987	153732	197679	197759	185692	193582	189740	167658	176778	176272	176011	172018	171415	167913	170803	187715	179957	162089	171665	190888	176109	156343	163827	195493	195724	186726	195648	181283	173476	197038	158191	177334	191188	132993	180917	158293	191069	137213	164756	521766	272572	267057	277014	276812	127464	210264	306492	222806	225801	259212	318949	267465	54249	37521	63263	58378	74879	57724	62670	50725	107461	90541	114987	135069	135487	118481	141501	146058	120204	119291	36115	69794	182769	153320	148844	241012	154619	167319	207793	191763	135107	126602	195321	165208	167424	146851	72746	183172	170450	196764	198588	188701	160606	168236	143135	196606	101909	123083	126864	150319	225568	301038	209784	194536	184875	199784	183700	273679	201931	292630	151402	208495	197515	261557	239220	226216	193911	210214	295340	183581	242926	250158	227607	141931	214718	55609	285320	193975	237568	207482	126105	292523	276113	45188	79631	33294	36775	30762	30127	51742	96426
Gupta_2017:Fv_volunteer	698997	149826	326188	719915	502318	169815	145764	114546	162578	152179	164190	162856	235501	134267	188048	185352	124526	179805	156247	187108	156040	208667	182629	180693	150747	287687	402986	344298	366867	418360	402269	314247	338535	381305	351441	318254	379463	316892	302096	284685	419603	372262	375922	392023	274690	445383	273671	399871	291094	377935	408180	360631	264643	401528	263002	334019	430575	398811	344594	344771	359758	334273	296814	311983	300781	385055	357966	314118	397607	267780	494804	503314	411481	394242	373620	445177	316613	478210	526855	435446	415595	447348	415787	410802	419477	321113	503871	424698	430555	486422	460060	401637	437713	394530	373767	412294	385117	394909	380505	464888	425363	344575	359929	459228	382051	371561	380390	511545	487338	420442	471420	440543	345497	472473	367966	360768	393827	239517	442042	347510	397548	225429	293977	272572	8741480	1612021	1794345	1776273	962883	1308305	2278005	1083522	1092063	1331587	2235230	1523165	152545	84574	220651	168359	278847	186451	200766	143406	293610	238658	426133	464336	453668	355550	505799	558913	405850	341344	151598	361783	719312	680951	684681	1528085	958577	1051292	1376716	1327139	578041	548052	1274543	964722	564607	413850	144966	571791	448937	696075	804836	661885	474966	509029	415982	610641	238845	298353	382585	436565	833218	1847182	713544	764572	716060	918448	726179	1549085	946847	1338932	516007	893072	949091	1301540	1275096	962566	951850	1042656	1415617	753404	1272607	1316695	937104	456381	554719	90088	1069503	475433	685633	540783	239194	1717913	1723766	226510	582102	197116	172898	161676	163775	208988	586516
Gupta_2017:GMC_volunteer	666839	143573	308476	704727	463346	159781	140521	111377	158952	145551	158638	160389	224572	131455	181015	178822	120571	172288	145640	179199	153536	206289	180069	172579	145695	289369	407879	341256	374987	426337	406927	309903	335717	377070	343032	318791	380558	321440	305186	277879	424603	380580	377726	394141	276548	446770	270554	398052	290327	382818	411750	363343	261200	393996	263573	328228	431054	406887	343409	352511	364200	330393	293699	312321	295472	383467	350175	309330	404747	268169	497556	514480	421712	406112	377762	446205	313166	492134	532847	434244	415749	452824	426105	419166	432077	319519	509102	415620	437568	496140	461404	413987	440956	401419	371820	412933	384100	407753	380175	474778	425115	340297	359323	461805	389254	380814	388163	506470	496430	422558	474429	447056	343938	469323	374174	359974	388912	234406	443773	346348	388300	219958	289963	267057	1612021	7044905	1650351	1483963	860558	1177765	1965053	965391	974279	1191045	1963607	1328265	146589	80835	207311	161513	261850	177337	191467	135851	285873	231070	410696	442107	436321	346171	481812	532332	388300	331286	140840	342890	660964	621167	611046	1293809	887340	955870	1237509	1194646	567079	525556	1132776	866611	524996	385420	142249	539412	433777	678348	755472	612951	456612	487397	399593	576992	233504	296749	372463	418496	787373	1595395	703275	683410	651047	821002	653366	1369134	814586	1258100	476774	803055	833116	1193761	1100058	933917	829488	925560	1322144	695163	1126291	1156497	868791	423194	531846	87801	1034045	460763	655593	523728	238233	1480848	1485906	208289	549769	198602	162788	160606	155362	199387	561736
Gupta_2017:IB_volunteer	731280	153990	342872	790747	522946	175234	152704	119043	175380	158106	173057	176832	248872	142607	196510	196128	128845	188271	155520	193457	167001	228326	200317	187229	158555	308984	446948	354645	410060	471059	443448	324480	350219	401141	359293	334696	414521	355528	328764	287255	462648	421781	405338	428427	295949	489541	283243	431274	313152	414352	456201	387758	274960	414096	283263	342161	470703	445608	368412	398351	392361	353575	307520	332209	307361	416620	363065	326215	448569	279834	550636	590157	473215	461730	411581	485716	330860	556233	595136	467419	451586	504668	480644	467906	496155	336939	563406	439654	481223	553270	508246	471571	478083	442452	399476	456080	418869	458206	411917	535752	457628	362777	384851	509582	430051	428188	422741	553529	552718	454188	515901	485319	360273	502783	417472	383169	415947	241972	490424	371676	403476	225218	301711	277014	1794345	1650351	9119717	1656226	969346	1321771	2279580	1066422	1064511	1319430	2297733	1477587	156305	85199	225737	174905	282428	193003	208079	143691	310902	249470	446028	479339	475560	376292	524687	584218	425396	359736	156811	387470	737631	687106	677604	1474719	1044324	1120664	1465098	1440904	647224	588662	1322107	993049	562567	405263	151284	577984	456428	735583	822437	648518	485930	512846	421610	603865	242614	311445	397823	438386	872770	1764772	798245	735797	691538	883742	709477	1499303	887446	1419910	508496	858984	905413	1325896	1222949	1076322	916434	1011987	1487632	761323	1241710	1267890	950179	450323	554587	90187	1141458	481551	699716	549158	245545	1669796	1686335	237690	683290	245954	177090	184835	184375	224571	682707
Huang_2016:Donor-Z258	641448	122947	288991	679766	461334	159269	133701	101720	143032	142316	149420	136356	219982	117231	170152	161845	114969	161694	152070	168823	131597	172643	151672	166240	134607	236441	352856	325008	325068	348800	364879	309722	335197	362413	347110	302146	342683	255109	266302	287825	366123	302867	338544	353713	260060	390573	272021	370109	250331	344190	350453	325659	260244	404028	236991	324839	379966	339375	313712	272971	306906	320311	289002	280183	302247	343154	346590	304336	350231	247821	436161	409520	337342	323379	325022	388751	306344	396431	458907	397909	379000	385390	347485	336184	336187	292010	434903	426831	374850	413540	409792	327381	372309	338845	347140	347919	345513	330035	352064	401961	370012	320034	337101	406591	336739	299604	312260	469445	413827	390048	409473	371545	334296	452218	299938	345778	379892	244959	391620	313865	410977	232767	298705	276812	1776273	1483963	1656226	14531970	885399	1320069	2443575	1214391	1176274	1464870	2354811	1718582	142607	80269	208483	150806	259006	171551	184856	136894	335850	267430	458694	528145	534397	403802	583756	668874	487735	426819	143547	301701	862706	797897	751302	1955281	864706	1025695	1443182	1346127	513044	521257	1396106	979098	673887	489054	163250	549952	446254	604154	707058	636889	428564	472396	380651	586533	224278	274047	354863	425610	893160	2261176	706300	938715	786521	1050272	850919	1756290	1183535	1615805	586559	993233	1118796	1444262	1512801	954480	1153865	1146779	1686033	794049	1466553	1540595	1074962	517081	672835	90538	1247193	592074	885984	652302	263002	2097228	2161341	204356	494817	137924	140771	107538	128126	196258	474914
Johnson_2018:CAP256	501569	147777	179864	493853	328131	78115	69762	56035	86212	75048	81189	85451	112564	71761	101283	104214	61371	96488	84416	99150	91461	119178	103926	97184	82564	145303	223906	180744	188203	237194	218055	154481	172119	199060	178362	173825	207621	166191	164729	133818	221644	209741	195697	218415	134818	226238	132515	215154	137497	200244	219371	190536	135470	197978	136069	167152	238890	210534	182083	177648	198656	167448	152814	161392	146448	210334	188004	162416	228463	141045	263095	280254	235462	216668	203571	244732	165882	262706	301811	229315	219304	258591	235338	226295	239766	164738	286721	205043	237908	277950	253818	246820	240230	218035	192963	230516	215851	214278	199104	252500	229434	182835	182712	242925	211656	217402	214892	274031	279543	232595	252211	241261	178170	235758	208530	178719	205624	115659	235802	179934	190169	104284	136689	127464	962883	860558	969346	885399	9018921	1316635	1414125	454559	437321	509820	1399995	567471	85982	46525	115051	90439	148609	99374	113629	80360	149765	111772	257797	254616	270095	205848	280727	321242	217825	165166	52624	271918	351894	348645	362958	884814	598677	655810	903558	848745	387826	317351	806887	569283	241653	175298	52826	270096	193373	346508	430539	309788	247091	266236	223630	299907	132638	152921	204159	200752	399990	910715	372625	295448	362904	445455	317464	760786	403335	762506	210890	411141	432539	680339	570759	542473	426361	553375	816341	342182	625117	605408	391237	206883	249478	41027	553674	204957	311847	226523	96843	832619	804805	82336	285312	105084	159151	76819	69166	102309	301399
Johnson_2018:HD1	665818	144977	289936	752063	448388	141899	124400	99477	145048	133264	143246	145146	202697	120632	170763	163489	112646	156538	135075	162757	142176	186578	165030	158570	136345	225565	339910	278247	303989	354402	330073	250895	270238	305974	274192	258398	310563	251867	250502	222467	347420	313354	307895	323412	226538	361698	219038	325243	222652	310051	336253	293060	217321	320157	218902	265035	350514	334272	281847	265713	299925	272038	238259	256498	238741	313012	291602	251434	332246	219320	407080	419288	344986	331612	307329	367671	254932	393372	443667	355818	342036	372553	353082	341245	353165	261012	412629	334238	356888	401165	381205	348542	363091	324291	300372	339959	319166	331648	309496	384393	348191	282987	291422	377197	315489	311415	316147	416876	406152	345600	380395	365646	280881	380519	307753	293652	316850	192953	363974	285655	311826	176873	225573	210264	1308305	1177765	1321771	1320069	1316635	8424707	1809420	742225	730504	840770	1800104	963653	139272	76775	193290	150916	244688	164743	180629	128592	301553	234757	442638	466952	475592	371888	505112	583182	429204	351585	125551	338514	668788	639992	608624	1306635	903210	1018397	1342443	1228123	577353	528234	1142592	878341	424210	316184	114326	413146	324968	527954	600729	457628	358804	385584	322108	438114	200598	244091	319979	336108	648966	1271050	607594	517727	530922	655683	523798	1094841	619932	1113304	379327	627773	682153	1024580	856859	792035	650105	766505	1162700	553012	871503	884972	668034	341775	433710	80315	849256	370613	530215	416097	193290	1167121	1179391	187127	488289	176563	164614	142128	139361	187775	502840
Landais_2017:PC064	890549	174742	409869	925344	653443	193937	165383	129163	186498	174019	185268	182825	277102	152001	214607	210726	138315	202836	174371	209848	180775	240162	207385	204817	167234	331772	482118	390618	435956	506431	473723	350863	387552	438823	401481	359512	440775	364277	345108	315112	505904	453294	448129	463606	314377	536709	310713	475346	328472	442000	480500	431115	295407	469001	296910	380876	513534	484304	396396	402817	421964	381035	336399	355598	336185	442943	405632	350394	480189	301362	593653	617695	492732	480126	437670	523797	363602	589318	644491	510760	485490	537096	505927	487159	517381	365508	610990	498888	523410	597511	544300	505557	537428	465011	428739	492299	443321	477349	444764	569680	498999	388708	414919	552007	452561	446925	455151	616772	597763	492598	571668	526547	394173	563700	435927	413397	450762	261223	531693	402023	460573	245910	329674	306492	2278005	1965053	2279580	2443575	1414125	1809420	18196622	1491082	1593894	2176933	3606498	2458191	174828	97067	262429	191369	329523	214848	234335	164127	353301	287160	535250	580179	562185	428670	634112	716643	513131	429059	200362	462727	921157	887630	850753	2116157	1360932	1483516	2140859	2020741	810568	759933	1934386	1386184	696715	488259	173237	638570	514135	831026	936215	745953	529089	567537	456454	684717	256068	334863	451413	500635	1029478	2442192	965966	930609	815164	1100306	924571	1958394	1178179	1874590	611988	1087113	1214469	1787009	1581171	1202050	1152580	1230016	1848101	901056	1498115	1577857	1240716	520069	690470	96769	1487695	584546	888715	679658	276389	2295953	2265321	307451	924134	262407	199993	210224	206273	282287	821784
Meng_2017a:Subject-D145	478281	103354	238219	487263	362619	137405	120404	93931	125822	122262	133590	126428	187646	106317	147983	144508	103720	139848	124453	146920	116177	157617	137719	146205	120459	209310	285081	252679	266393	283639	290993	239748	265428	277577	262425	240409	272766	223838	218881	226162	291822	251251	266391	280920	214351	315582	214562	293235	217121	276677	282819	267927	208911	303765	193904	247452	297776	275782	252238	238811	246664	249659	226831	224101	232425	269190	275283	240412	282216	198563	339250	336344	268642	270514	262574	306904	241825	320141	362176	312018	302383	306217	286816	272023	275373	231999	344787	319392	304897	328919	319422	269531	297824	274189	274609	276735	279113	274238	278061	322262	294109	259618	267869	317840	276248	251871	255903	362716	330054	308815	318703	299845	264754	347568	250563	273333	295752	191719	316493	256172	304809	186068	237027	222806	1083522	965391	1066422	1214391	454559	742225	1491082	4549832	978213	1157227	1593784	1330588	126897	73494	179715	138334	222640	152414	162609	121584	229095	187581	294922	339970	340589	269140	387560	413464	299463	261031	123578	245271	550511	509278	517103	1069457	621344	696394	907361	857410	402641	395840	825355	671038	452241	334879	133233	418712	344295	464521	537454	473561	335547	363427	304798	441942	178991	219830	279662	324462	608847	1161416	505873	582839	508045	621466	549154	1017329	676682	897124	399896	632691	684103	864838	835242	625809	672057	687845	924621	540071	807221	875578	663435	348051	434843	77435	746637	381197	511478	427697	198318	1130140	1119486	170802	390495	125710	113413	99257	111105	161477	397814
Meng_2017a:Subject-D149	481707	100476	226054	482365	352968	129928	113244	90726	119861	116707	124994	119427	178520	100408	139328	135325	99685	133262	119823	140396	110674	148821	130052	139865	114738	201663	289252	257447	270245	282877	293252	240466	271865	280469	267149	246511	269317	216019	219563	230397	294168	251508	268285	284184	214804	317015	216753	294728	212124	281978	283488	270007	207783	307441	191812	250472	301169	274197	256574	230808	247982	246948	231007	223249	236363	269993	280764	244457	284678	199264	343023	337624	267049	267597	264415	306709	245262	321631	363177	312547	302747	312811	288071	272841	272750	233038	351404	328651	310405	333426	322149	267583	298561	273364	276198	276364	280530	272798	277919	323182	297296	259383	271101	317449	276971	252713	256086	366750	333291	315175	321524	300701	265075	353580	251362	275368	299533	191437	311259	253054	309485	186316	241253	225801	1092063	974279	1064511	1176274	437321	730504	1593894	978213	4664798	1402865	1776142	1591500	123341	70982	172838	133438	215741	146192	158693	118410	218262	184341	298742	333269	329191	259802	386191	411345	294562	252539	114494	243192	520043	492944	481775	1006282	601101	676436	890201	839968	399840	388685	821469	666843	457963	342841	134016	421470	348166	459972	527213	483519	338760	367767	309021	443588	177123	218640	277084	327477	596531	1199142	499351	583977	496581	624854	558412	1024682	674930	883590	413672	674302	693076	876234	831595	595900	668942	676848	908496	527717	770136	886336	668502	345482	443899	75522	760161	381443	513664	436434	196846	1147487	1128503	151741	358054	116074	109882	93682	103465	170967	370808
Meng_2017a:Subject-D168	542869	108122	255663	570004	385207	141755	125726	97326	132999	126691	136804	133039	195057	111476	153639	147995	105153	145741	128250	151384	124489	167658	145878	149858	123315	238870	347482	300001	325263	347264	353776	283521	314412	335193	317626	284150	328063	260131	259355	264664	360325	308978	328527	340638	252357	385951	252721	355451	250924	333631	346854	321642	237328	367435	229340	298291	368052	340247	302786	286131	299671	295385	267209	266322	273842	324462	314721	281357	349631	235356	423408	421774	335404	333250	320610	372581	287985	408581	443363	375831	363818	382731	352188	335881	345724	276860	424274	397593	377936	408927	394334	334781	365608	334882	326932	338865	330010	337632	333846	402580	355989	300358	322962	393788	333467	308677	312930	446258	410718	369724	400034	366212	308343	430990	303435	327251	353623	216495	380549	302766	364186	211343	280099	259212	1331587	1191045	1319430	1464870	509820	840770	2176933	1157227	1402865	10529581	3028277	2788111	131124	76079	185473	143672	228404	156353	168516	123787	249714	208531	337932	382246	375114	296377	427117	461666	341124	297981	130436	269759	615450	564562	536154	1209497	698160	762310	1048758	983292	462365	447150	986401	750653	543400	397102	162920	483443	406704	562399	617235	561911	395520	425626	347575	515274	198298	253835	316446	375289	725369	1572740	635019	695228	564041	749060	659825	1270374	814460	1149706	475339	815673	816137	1116174	1033842	732253	800783	794477	1153118	620128	937935	1058850	840268	393826	542235	82565	1009921	474240	651450	553840	235126	1503972	1410239	181782	449766	147637	120067	115299	124604	186501	436880
Meng_2017a:Subject-D181	908697	171911	391706	988109	620198	191664	165729	129228	188781	173049	188160	189868	274144	152634	214980	216889	139882	204360	171287	211413	179469	247151	215823	206281	171183	332867	503110	398212	464370	521379	502138	367451	403415	459904	410769	378586	468049	380178	361536	331440	522390	467504	459523	481713	333864	550442	319797	491619	343113	473839	507339	440029	308606	485045	311170	388578	532971	497950	414856	428805	431081	399241	349611	364705	347618	468280	417267	369316	505167	308734	626868	660365	524252	509058	458420	545600	373696	630997	676763	531013	509702	565007	532841	514475	550865	370752	647602	516590	548905	633066	574960	522341	534441	491941	451798	501164	462487	514330	464907	606454	512673	406182	433541	578836	482803	468615	467900	633099	626016	521880	575790	537113	407531	588315	459840	435712	475158	269365	546502	418175	477228	257536	348109	318949	2235230	1963607	2297733	2354811	1399995	1800104	3606498	1593784	1776142	3028277	20433718	3430395	175215	96292	255910	196352	322176	214952	234707	163589	361136	286326	525029	571145	578858	442966	646742	730835	515555	428155	178087	450898	948576	884215	857966	2085474	1315555	1474151	2055418	1934881	799024	727465	1805646	1320808	724538	515196	196660	658020	532390	835984	945580	757624	542313	577689	473219	702446	259370	345364	442326	497607	1071416	2413124	979394	943637	834227	1080705	907127	1976802	1138602	1876476	631798	1131277	1153375	1709382	1543212	1244791	1148174	1222272	1917017	894251	1488552	1597739	1184410	533403	720072	97489	1537766	616842	903109	712704	284993	2283132	2229307	272936	823837	269575	196112	196453	201381	269583	787728
Meng_2017a:Subject-D182	590888	116670	277107	611734	434430	153580	132227	103866	140957	135981	147039	140863	211625	117097	166157	161840	113845	155854	138758	164055	130887	176919	155286	161332	132489	250134	356832	311140	336341	356697	365755	294670	328510	351779	329060	296041	339445	270734	267041	278545	372502	318966	337769	351947	261927	399167	261320	364895	262464	348637	357880	331740	247818	382458	236665	309194	382664	347457	314177	295416	307218	308239	280274	274278	284946	339677	333953	293370	357182	240965	442423	433258	343875	337231	328633	387655	295594	419112	461208	392448	377987	392096	360684	346312	353050	283656	446506	410841	387904	428702	408828	340013	378133	345789	342117	347964	341430	347071	346473	413445	373544	313096	332921	410025	343023	315999	320949	461129	423024	388757	408012	376224	320614	449566	314967	339999	366156	225823	390850	314818	384076	221545	292129	267465	1523165	1328265	1477587	1718582	567471	963653	2458191	1330588	1591500	2788111	3430395	12499447	140709	79599	200816	153472	254196	170468	181237	133627	266718	222420	364307	412056	407969	317652	473966	512931	364555	312303	144525	293511	696150	636759	613919	1449037	784218	879735	1208747	1139654	503200	484587	1117019	868393	590299	432029	171421	521611	438490	599878	676760	610657	420248	454029	374779	552826	208601	267661	335300	400364	782898	1746209	675217	777343	625221	810664	734103	1420218	911450	1262754	525264	904576	900426	1212471	1150403	789179	892002	881142	1261361	672347	1035016	1189337	899785	428808	580504	85443	1092176	498080	690763	581099	241631	1671760	1613655	207021	512814	161201	128890	125085	140137	202969	496767
Palanichamy_2014:Subject-14711	114432	45800	83493	113847	107637	54929	51852	43785	57048	52790	58568	58110	69904	50357	63842	61384	49674	59527	52115	62492	53507	66968	62091	60644	56031	65016	74820	64431	68796	75982	72975	62355	65041	68609	63605	63354	70306	69758	62736	57567	74818	69210	67983	72476	60751	77398	57779	71250	65468	70588	74025	66756	59377	69473	58127	61615	74202	71866	67356	68726	67387	66073	59894	63357	61218	70024	71437	61750	71407	57600	80977	83505	71537	71514	69757	79999	61532	77606	87968	78276	77477	77121	77992	71575	73007	65503	82578	70252	75803	78880	78899	72914	78078	71075	70159	74195	75355	72336	74049	79759	76018	71312	69833	76712	70855	71120	68967	85172	80578	76792	75292	78880	67236	80071	70551	68035	70264	53799	81432	70565	67864	48691	57917	54249	152545	146589	156305	142607	85982	139272	174828	126897	123341	131124	175215	140709	313213	43739	77136	69346	88048	70638	76018	63123	70778	64557	87058	89607	91177	81910	96102	100241	84004	73280	39362	81060	112432	110597	109648	147061	137211	142225	153695	153736	109577	106723	141507	131029	89305	71625	38879	91750	76320	103555	113181	95434	85196	86600	81720	92777	57647	63850	81847	78330	112583	145262	103651	96197	97855	107043	97478	141519	98870	133757	83819	105509	111318	134457	121396	125266	105184	118474	139027	107606	126908	126066	112759	79148	80501	34723	113355	75203	88041	79371	54380	142753	146484	50542	85751	40108	45921	34305	35736	59626	107532
